args: ['./dist', '1234567', '0', '0'], Deals: 1234567, Field: Dist, Sort: Up
Rank	Dist	 Count	Subtot	Percent	Reverse
   1	003A	     6	 0.000	 0.000	100.000
   2	0049	    42	 0.000	 0.001	100.000
   3	0058	   142	 0.001	 0.003	99.999
   4	0067	   263	 0.004	 0.005	99.996
   5	011B	     1	 0.009	 0.000	99.991
   6	012A	    54	 0.009	 0.001	99.991
   7	0139	   484	 0.010	 0.010	99.990
   8	0148	  2228	 0.020	 0.045	99.980
   9	0157	  5403	 0.065	 0.109	99.935
  10	0166	  3597	 0.175	 0.073	99.825
  11	0229	   410	 0.247	 0.008	99.753
  12	0238	  5448	 0.256	 0.110	99.744
  13	0247	 17990	 0.366	 0.364	99.634
  14	0256	 31910	 0.730	 0.646	99.270
  15	0337	 13000	 1.377	 0.263	98.623
  16	0346	 65366	 1.640	 1.324	98.360
  17	0355	 44236	 2.963	 0.896	97.037
  18	0445	 61234	 3.859	 1.240	96.141
  19	111A	    15	 5.099	 0.000	94.901
  20	1129	   880	 5.100	 0.018	94.900
  21	1138	  5826	 5.117	 0.118	94.883
  22	1147	 19589	 5.235	 0.397	94.765
  23	1156	 34778	 5.632	 0.704	94.368
  24	1228	  9317	 6.336	 0.189	93.664
  25	1237	 92808	 6.525	 1.879	93.475
  26	1246	232927	 8.404	 4.717	91.596
  27	1255	157333	13.121	 3.186	86.879
  28	1336	169938	16.307	 3.441	83.693
  29	1345	638793	19.748	12.936	80.252
  30	1444	147650	32.684	 2.990	67.316
  31	2227	 25103	35.674	 0.508	64.326
  32	2236	278348	36.182	 5.637	63.818
  33	2245	522367	41.819	10.578	58.181
  34	2335	767345	52.397	15.539	47.603
  35	2344	1063944	67.935	21.545	32.065
  36	3334	519493	89.480	10.520	10.520
