args: ['./dist', '1234567', '0', '1'], Deals: 1234567, Field: Dist, Sort: Down
Rank	Dist	 Count	Subtot	Percent	Reverse
   1	B200	     1	 0.000	 0.000	100.000
   2	B110	     1	 0.000	 0.000	100.000
   3	A300	     9	 0.000	 0.000	100.000
   4	A210	    39	 0.000	 0.001	100.000
   5	A111	    18	 0.001	 0.000	99.999
   6	9400	    44	 0.001	 0.001	99.999
   7	9310	   464	 0.002	 0.009	99.998
   8	9220	   390	 0.012	 0.008	99.988
   9	9211	   864	 0.020	 0.017	99.980
  10	8500	   170	 0.037	 0.003	99.963
  11	8410	  2175	 0.041	 0.044	99.959
  12	8320	  5382	 0.085	 0.109	99.915
  13	8311	  5876	 0.194	 0.119	99.806
  14	8221	  9562	 0.313	 0.194	99.687
  15	7600	   267	 0.506	 0.005	99.494
  16	7510	  5402	 0.512	 0.109	99.488
  17	7420	 18154	 0.621	 0.368	99.379
  18	7411	 19431	 0.989	 0.393	99.011
  19	7330	 13228	 1.382	 0.268	98.618
  20	7321	 92928	 1.650	 1.882	98.350
  21	7222	 25487	 3.532	 0.516	96.468
  22	6610	  3658	 4.048	 0.074	95.952
  23	6520	 32126	 4.122	 0.651	95.878
  24	6511	 34938	 4.772	 0.707	95.228
  25	6430	 65594	 5.480	 1.328	94.520
  26	6421	232151	 6.808	 4.701	93.192
  27	6331	170490	11.509	 3.452	88.491
  28	6322	277703	14.962	 5.623	85.038
  29	5530	 44306	20.585	 0.897	79.415
  30	5521	156551	21.482	 3.170	78.518
  31	5440	 61587	24.653	 1.247	75.347
  32	5431	638234	25.900	12.924	74.100
  33	5422	524421	38.824	10.620	61.176
  34	5332	767028	49.443	15.532	50.557
  35	4441	147547	64.976	 2.988	35.024
  36	4432	1062496	67.964	21.516	32.036
  37	4333	519546	89.479	10.521	10.521
