args: ['./dist', '1234567', '1', '0'], Deals: 1234567, Field: Count, Sort: Up
Rank	Dist	 Count	Subtot	Percent	Reverse
   1	011B	     1	 0.000	 0.000	100.000
   2	002B	     2	 0.000	 0.000	100.000
   3	003A	     9	 0.000	 0.000	100.000
   4	111A	    20	 0.000	 0.000	100.000
   5	012A	    42	 0.001	 0.001	99.999
   6	0049	    43	 0.001	 0.001	99.999
   7	0058	   184	 0.002	 0.004	99.998
   8	0067	   275	 0.006	 0.006	99.994
   9	0229	   407	 0.012	 0.008	99.988
  10	0139	   508	 0.020	 0.010	99.980
  11	1129	   908	 0.030	 0.018	99.970
  12	0148	  2186	 0.049	 0.044	99.951
  13	0166	  3493	 0.093	 0.071	99.907
  14	0157	  5334	 0.164	 0.108	99.836
  15	0238	  5344	 0.272	 0.108	99.728
  16	1138	  5819	 0.380	 0.118	99.620
  17	1228	  9581	 0.498	 0.194	99.502
  18	0337	 13186	 0.692	 0.267	99.308
  19	0247	 17946	 0.959	 0.363	99.041
  20	1147	 19383	 1.322	 0.393	98.678
  21	2227	 25403	 1.715	 0.514	98.285
  22	0256	 32072	 2.229	 0.649	97.771
  23	1156	 34640	 2.878	 0.701	97.122
  24	0355	 44134	 3.580	 0.894	96.420
  25	0445	 61561	 4.474	 1.247	95.526
  26	0346	 65180	 5.720	 1.320	94.280
  27	1237	 92357	 7.040	 1.870	92.960
  28	1444	148527	 8.910	 3.008	91.090
  29	1255	156269	11.918	 3.164	88.082
  30	1336	170215	15.082	 3.447	84.918
  31	1246	231959	18.529	 4.697	81.471
  32	2236	278689	23.227	 5.643	76.773
  33	3334	519351	28.870	10.517	71.130
  34	2245	523143	39.387	10.594	60.613
  35	1345	639635	49.980	12.953	50.020
  36	2335	765175	62.933	15.495	37.067
  37	2344	1065287	78.428	21.572	21.572
