args: ['./dist', '1234567', '1', '1'], Deals: 1234567, Field: Count, Sort: Down
Rank	Dist	 Count	Subtot	Percent	Reverse
   1	4432	1062291	 0.000	21.511	100.000
   2	5332	766093	21.511	15.513	78.489
   3	5431	638091	37.025	12.921	62.975
   4	5422	522913	49.946	10.589	50.054
   5	4333	521115	60.535	10.553	39.465
   6	6322	278836	71.088	 5.646	28.912
   7	6421	232816	76.734	 4.715	23.266
   8	6331	170599	81.449	 3.455	18.551
   9	5521	156813	84.903	 3.175	15.097
  10	4441	147770	88.079	 2.992	11.921
  11	7321	 92812	91.071	 1.879	 8.929
  12	6430	 65337	92.951	 1.323	 7.049
  13	5440	 61851	94.274	 1.252	 5.726
  14	5530	 43995	95.526	 0.891	 4.474
  15	6511	 34848	96.417	 0.706	 3.583
  16	6520	 32202	97.123	 0.652	 2.877
  17	7222	 25436	97.775	 0.515	 2.225
  18	7411	 19288	98.290	 0.391	 1.710
  19	7420	 18031	98.680	 0.365	 1.320
  20	7330	 13097	99.046	 0.265	 0.954
  21	8221	  9612	99.311	 0.195	 0.689
  22	8311	  5764	99.505	 0.117	 0.495
  23	8320	  5294	99.622	 0.107	 0.378
  24	7510	  5293	99.729	 0.107	 0.271
  25	6610	  3557	99.837	 0.072	 0.163
  26	8410	  2216	99.909	 0.045	 0.091
  27	9211	   889	99.953	 0.018	 0.047
  28	9310	   494	99.971	 0.010	 0.029
  29	9220	   376	99.981	 0.008	 0.019
  30	7600	   250	99.989	 0.005	 0.011
  31	8500	   144	99.994	 0.003	 0.006
  32	A210	    59	99.997	 0.001	 0.003
  33	9400	    53	99.998	 0.001	 0.002
  34	A111	    22	99.999	 0.000	 0.001
  35	A300	    10	100.000	 0.000	 0.000
  36	B110	     1	100.000	 0.000	 0.000
