args: ['./fits', '1234567', '0', '0'], Deals: 1234567, Field: Dist, Sort: Up
Rank	Dist	 Count	Subtot	Percent	Reverse
   1	059C	     3	 0.000	 0.000	100.000
   2	05AB	     2	 0.000	 0.000	100.000
   3	068C	     3	 0.000	 0.000	100.000
   4	069B	    11	 0.000	 0.000	100.000
   5	06AA	     9	 0.001	 0.000	99.999
   6	077C	     2	 0.001	 0.000	99.999
   7	078B	    22	 0.001	 0.001	99.999
   8	079A	    46	 0.002	 0.002	99.998
   9	088A	    33	 0.004	 0.001	99.996
  10	0899	    36	 0.005	 0.001	99.995
  11	13AC	     4	 0.007	 0.000	99.993
  12	13BB	     1	 0.007	 0.000	99.993
  13	148D	     3	 0.007	 0.000	99.993
  14	149C	    14	 0.007	 0.001	99.993
  15	14AB	    22	 0.008	 0.001	99.992
  16	157D	     3	 0.009	 0.000	99.991
  17	158C	    30	 0.009	 0.001	99.991
  18	159B	   102	 0.010	 0.004	99.990
  19	15AA	    79	 0.014	 0.003	99.986
  20	166D	     2	 0.017	 0.000	99.983
  21	167C	    62	 0.017	 0.003	99.983
  22	168B	   260	 0.020	 0.011	99.980
  23	169A	   554	 0.030	 0.022	99.970
  24	177B	   186	 0.053	 0.008	99.947
  25	178A	   984	 0.060	 0.040	99.940
  26	1799	   671	 0.100	 0.027	99.900
  27	1889	   986	 0.127	 0.040	99.873
  28	22AC	     1	 0.167	 0.000	99.833
  29	238D	     2	 0.167	 0.000	99.833
  30	239C	    22	 0.167	 0.001	99.833
  31	23AB	    72	 0.168	 0.003	99.832
  32	247D	    11	 0.171	 0.000	99.829
  33	248C	   102	 0.172	 0.004	99.828
  34	249B	   354	 0.176	 0.014	99.824
  35	24AA	   253	 0.190	 0.010	99.810
  36	256D	    22	 0.200	 0.001	99.800
  37	257C	   260	 0.201	 0.011	99.799
  38	258B	  1184	 0.212	 0.048	99.788
  39	259A	  2442	 0.260	 0.099	99.740
  40	266C	   186	 0.359	 0.008	99.641
  41	267B	  2276	 0.366	 0.092	99.634
  42	268A	  6005	 0.458	 0.243	99.542
  43	2699	  4009	 0.702	 0.162	99.298
  44	277A	  3794	 0.864	 0.154	99.136
  45	2789	 14529	 1.018	 0.588	98.982
  46	2888	  3296	 1.606	 0.133	98.394
  47	337D	     9	 1.739	 0.000	98.261
  48	338C	    79	 1.740	 0.003	98.260
  49	339B	   253	 1.743	 0.010	98.257
  50	33AA	   198	 1.753	 0.008	98.247
  51	346D	    46	 1.761	 0.002	98.239
  52	347C	   554	 1.763	 0.022	98.237
  53	348B	  2442	 1.786	 0.099	98.214
  54	349A	  4940	 1.885	 0.200	98.115
  55	355D	    33	 2.085	 0.001	97.915
  56	356C	   984	 2.086	 0.040	97.914
  57	357B	  6005	 2.126	 0.243	97.874
  58	358A	 16272	 2.369	 0.659	97.631
  59	3599	 11112	 3.028	 0.450	96.972
  60	366B	  3794	 3.478	 0.154	96.522
  61	367A	 28886	 3.632	 1.170	96.368
  62	3689	 53887	 4.802	 2.182	95.198
  63	3779	 36114	 6.984	 1.463	93.016
  64	3788	 48883	 8.447	 1.980	91.553
  65	445D	    36	10.426	 0.001	89.574
  66	446C	   671	10.428	 0.027	89.572
  67	447B	  4009	10.455	 0.162	89.545
  68	448A	 11112	10.617	 0.450	89.383
  69	4499	  7962	11.067	 0.322	88.933
  70	455C	   986	11.390	 0.040	88.610
  71	456B	 14529	11.430	 0.588	88.570
  72	457A	 53887	12.018	 2.182	87.982
  73	4589	101406	14.201	 4.107	85.799
  74	466A	 36114	18.308	 1.463	81.692
  75	4679	180016	19.770	 7.291	80.230
  76	4688	121578	27.061	 4.924	72.939
  77	4778	161648	31.985	 6.547	68.015
  78	555B	  3296	38.532	 0.133	61.468
  79	556A	 48883	38.665	 1.980	61.335
  80	5579	121578	40.645	 4.924	59.355
  81	5588	 81504	45.569	 3.301	54.431
  82	5669	161648	48.870	 6.547	51.130
  83	5678	583214	55.416	23.620	44.584
  84	5777	129060	79.037	 5.227	20.963
  85	6668	129060	84.263	 5.227	15.737
  86	6677	259496	89.490	10.510	10.510
