args: ['./fits', '1234567', '0', '1'], Deals: 1234567, Field: Dist, Sort: Down
Rank	Dist	 Count	Subtot	Percent	Reverse
   1	D922	     1	 0.000	 0.000	100.000
   2	D841	     2	 0.000	 0.000	100.000
   3	D832	     5	 0.000	 0.000	100.000
   4	D751	     2	 0.000	 0.000	100.000
   5	D742	    10	 0.000	 0.000	100.000
   6	D733	     8	 0.001	 0.000	99.999
   7	D661	     2	 0.001	 0.000	99.999
   8	D652	    16	 0.001	 0.001	99.999
   9	D643	    36	 0.002	 0.001	99.998
  10	D553	    35	 0.003	 0.001	99.997
  11	D544	    41	 0.005	 0.002	99.995
  12	CA31	     6	 0.006	 0.000	99.994
  13	CA22	     2	 0.007	 0.000	99.993
  14	C950	     2	 0.007	 0.000	99.993
  15	C941	    16	 0.007	 0.001	99.993
  16	C932	    31	 0.007	 0.001	99.993
  17	C860	     2	 0.009	 0.000	99.991
  18	C851	    38	 0.009	 0.002	99.991
  19	C842	   120	 0.010	 0.005	99.990
  20	C833	    99	 0.015	 0.004	99.985
  21	C770	     2	 0.019	 0.000	99.981
  22	C761	    46	 0.019	 0.002	99.981
  23	C752	   257	 0.021	 0.010	99.979
  24	C743	   568	 0.032	 0.023	99.968
  25	C662	   169	 0.055	 0.007	99.945
  26	C653	  1005	 0.061	 0.041	99.939
  27	C644	   671	 0.102	 0.027	99.898
  28	C554	   929	 0.129	 0.038	99.871
  29	BB40	     1	 0.167	 0.000	99.833
  30	BB31	     2	 0.167	 0.000	99.833
  31	BA50	     5	 0.167	 0.000	99.833
  32	BA41	    31	 0.167	 0.001	99.833
  33	BA32	    50	 0.168	 0.002	99.832
  34	B960	    10	 0.171	 0.000	99.829
  35	B951	   120	 0.171	 0.005	99.829
  36	B942	   364	 0.176	 0.015	99.824
  37	B933	   274	 0.191	 0.011	99.809
  38	B870	    16	 0.202	 0.001	99.798
  39	B861	   257	 0.202	 0.010	99.798
  40	B852	  1228	 0.213	 0.050	99.787
  41	B843	  2434	 0.262	 0.099	99.738
  42	B771	   169	 0.361	 0.007	99.639
  43	B762	  2196	 0.368	 0.089	99.632
  44	B753	  5783	 0.457	 0.234	99.543
  45	B744	  4109	 0.691	 0.166	99.309
  46	B663	  3944	 0.857	 0.160	99.143
  47	B654	 14738	 1.017	 0.597	98.983
  48	B555	  3344	 1.614	 0.135	98.386
  49	AA60	     8	 1.749	 0.000	98.251
  50	AA51	    99	 1.750	 0.004	98.250
  51	AA42	   274	 1.754	 0.011	98.246
  52	AA33	   174	 1.765	 0.007	98.235
  53	A970	    36	 1.772	 0.001	98.228
  54	A961	   568	 1.773	 0.023	98.227
  55	A952	  2434	 1.796	 0.099	98.204
  56	A943	  4816	 1.895	 0.195	98.105
  57	A880	    35	 2.090	 0.001	97.910
  58	A871	  1005	 2.091	 0.041	97.909
  59	A862	  5783	 2.132	 0.234	97.868
  60	A853	 16130	 2.366	 0.653	97.634
  61	A844	 11184	 3.020	 0.453	96.980
  62	A772	  3944	 3.473	 0.160	96.527
  63	A763	 28792	 3.632	 1.166	96.368
  64	A754	 54199	 4.798	 2.195	95.202
  65	A664	 35877	 6.993	 1.453	93.007
  66	A655	 48561	 8.446	 1.967	91.554
  67	9980	    41	10.413	 0.002	89.587
  68	9971	   671	10.415	 0.027	89.585
  69	9962	  4109	10.442	 0.166	89.558
  70	9953	 11184	10.608	 0.453	89.392
  71	9944	  7708	11.061	 0.312	88.939
  72	9881	   929	11.374	 0.038	88.626
  73	9872	 14738	11.411	 0.597	88.589
  74	9863	 54199	12.008	 2.195	87.992
  75	9854	101792	14.203	 4.123	85.797
  76	9773	 35877	18.326	 1.453	81.674
  77	9764	180616	19.779	 7.315	80.221
  78	9755	121049	27.094	 4.902	72.906
  79	9665	161824	31.996	 6.554	68.004
  80	8882	  3344	38.550	 0.135	61.450
  81	8873	 48561	38.685	 1.967	61.315
  82	8864	121049	40.652	 4.902	59.348
  83	8855	 81740	45.555	 3.310	54.445
  84	8774	161824	48.865	 6.554	51.135
  85	8765	583324	55.419	23.625	44.581
  86	8666	129637	79.044	 5.250	20.956
  87	7775	129637	84.294	 5.250	15.706
  88	7766	258166	89.544	10.456	10.456
