args: ['./fits', '100000', '0', '0'], Deals: 100000, Field: Dist, Sort: Up
Rank (Dist, Count)	Percent	Totals	Reverse
  1  ('0899', 3) 	 0.002	 0.000	100.000
  2  ('1799', 54) 	 0.027	 0.002	99.999
  3  ('1889', 90) 	 0.045	 0.029	99.972
  4  ('2699', 292) 	 0.146	 0.073	99.927
  5  ('2789', 1190) 	 0.595	 0.219	99.781
  6  ('2888', 293) 	 0.146	 0.815	99.186
  7  ('3599', 918) 	 0.459	 0.961	99.039
  8  ('3689', 4408) 	 2.204	 1.420	98.580
  9  ('3779', 2900) 	 1.450	 3.624	96.376
 10  ('3788', 3933) 	 1.967	 5.074	94.926
 11  ('4499', 684) 	 0.342	 7.040	92.960
 12  ('4589', 8306) 	 4.153	 7.382	92.618
 13  ('4679', 14630) 	 7.315	11.535	88.465
 14  ('4688', 9850) 	 4.925	18.851	81.150
 15  ('4778', 13040) 	 6.520	23.776	76.225
 16  ('5579', 9850) 	 4.925	30.296	69.704
 17  ('5588', 6634) 	 3.317	35.221	64.779
 18  ('5669', 13040) 	 6.520	38.538	61.462
 19  ('5678', 46894) 	23.447	45.058	54.942
 20  ('5777', 10410) 	 5.205	68.505	31.495
 21  ('05912', 1) 	 0.001	73.710	26.290
 22  ('6668', 10410) 	 5.205	73.710	26.290
 23  ('6677', 21322) 	10.661	78.915	21.085
 24  ('06911', 1) 	 0.001	89.576	10.424
 25  ('07910', 1) 	 0.001	89.577	10.423
 26  ('08810', 2) 	 0.001	89.577	10.423
 27  ('13913', 1) 	 0.001	89.578	10.422
 28  ('14813', 1) 	 0.001	89.579	10.421
 29  ('15812', 4) 	 0.002	89.579	10.421
 30  ('15911', 14) 	 0.007	89.581	10.419
 31  ('16712', 4) 	 0.002	89.588	10.412
 32  ('16811', 22) 	 0.011	89.590	10.410
 33  ('16910', 44) 	 0.022	89.601	10.399
 34  ('17711', 20) 	 0.010	89.623	10.377
 35  ('17810', 67) 	 0.034	89.633	10.367
 36  ('23912', 1) 	 0.001	89.667	10.333
 37  ('24713', 1) 	 0.001	89.667	10.333
 38  ('24812', 14) 	 0.007	89.668	10.332
 39  ('24911', 26) 	 0.013	89.675	10.325
 40  ('25712', 22) 	 0.011	89.688	10.312
 41  ('25811', 120) 	 0.060	89.699	10.301
 42  ('25910', 221) 	 0.111	89.759	10.241
 43  ('26612', 20) 	 0.010	89.869	10.131
 44  ('26711', 156) 	 0.078	89.879	10.121
 45  ('26810', 476) 	 0.238	89.957	10.043
 46  ('27710', 320) 	 0.160	90.195	 9.805
 47  ('33812', 13) 	 0.007	90.355	 9.645
 48  ('33911', 17) 	 0.009	90.362	 9.638
 49  ('34613', 1) 	 0.001	90.370	 9.630
 50  ('34712', 44) 	 0.022	90.371	 9.629
 51  ('34811', 221) 	 0.111	90.393	 9.607
 52  ('34910', 386) 	 0.193	90.503	 9.497
 53  ('35513', 2) 	 0.001	90.696	 9.304
 54  ('35612', 67) 	 0.034	90.697	 9.303
 55  ('35711', 476) 	 0.238	90.731	 9.269
 56  ('35810', 1316) 	 0.658	90.969	 9.031
 57  ('36611', 320) 	 0.160	91.627	 8.373
 58  ('36710', 2300) 	 1.150	91.787	 8.213
 59  ('041012', 1) 	 0.001	92.937	 7.063
 60  ('44513', 3) 	 0.002	92.937	 7.063
 61  ('44612', 54) 	 0.027	92.939	 7.061
 62  ('44711', 292) 	 0.146	92.966	 7.034
 63  ('44810', 918) 	 0.459	93.112	 6.888
 64  ('45512', 90) 	 0.045	93.571	 6.429
 65  ('45611', 1190) 	 0.595	93.616	 6.384
 66  ('45710', 4408) 	 2.204	94.211	 5.789
 67  ('46610', 2900) 	 1.450	96.415	 3.585
 68  ('55511', 293) 	 0.146	97.865	 2.135
 69  ('55610', 3933) 	 1.967	98.011	 1.989
 70  ('141011', 1) 	 0.001	99.978	 0.022
 71  ('151010', 13) 	 0.007	99.978	 0.022
 72  ('231011', 6) 	 0.003	99.985	 0.015
 73  ('241010', 17) 	 0.009	99.988	 0.012
 74  ('331010', 8) 	 0.004	99.996	 0.004
