args: ['./fits', '1234567', '1', '0'], Deals: 1234567, Field: Count, Sort: Up
Rank	Dist	 Count	Subtot	Percent	Reverse
   1	04AC	     1	 0.000	 0.000	100.000
   2	139D	     1	 0.000	 0.000	100.000
   3	04BB	     1	 0.000	 0.000	100.000
   4	229D	     1	 0.000	 0.000	100.000
   5	238D	     3	 0.000	 0.000	100.000
   6	05AB	     3	 0.000	 0.000	100.000
   7	068C	     4	 0.000	 0.000	100.000
   8	157D	     4	 0.001	 0.000	99.999
   9	077C	     5	 0.001	 0.000	99.999
  10	166D	     5	 0.001	 0.000	99.999
  11	06AA	     6	 0.001	 0.000	99.999
  12	337D	     6	 0.001	 0.000	99.999
  13	149C	    12	 0.002	 0.000	99.998
  14	14AB	    18	 0.002	 0.001	99.998
  15	239C	    18	 0.003	 0.001	99.997
  16	247D	    18	 0.004	 0.001	99.996
  17	069B	    18	 0.004	 0.001	99.996
  18	256D	    27	 0.005	 0.001	99.995
  19	078B	    27	 0.006	 0.001	99.994
  20	088A	    29	 0.007	 0.001	99.993
  21	355D	    29	 0.008	 0.001	99.992
  22	0899	    32	 0.010	 0.001	99.990
  23	445D	    32	 0.011	 0.001	99.989
  24	158C	    34	 0.012	 0.001	99.988
  25	346D	    51	 0.014	 0.002	99.986
  26	079A	    51	 0.016	 0.002	99.984
  27	167C	    74	 0.018	 0.003	99.982
  28	338C	    88	 0.021	 0.004	99.979
  29	15AA	    88	 0.024	 0.004	99.976
  30	23AB	    88	 0.028	 0.004	99.972
  31	159B	   108	 0.031	 0.004	99.969
  32	248C	   108	 0.036	 0.004	99.964
  33	33AA	   182	 0.040	 0.007	99.960
  34	177B	   185	 0.047	 0.007	99.953
  35	266C	   185	 0.055	 0.007	99.945
  36	24AA	   270	 0.062	 0.011	99.938
  37	339B	   270	 0.073	 0.011	99.927
  38	257C	   289	 0.084	 0.012	99.916
  39	168B	   289	 0.096	 0.012	99.904
  40	249B	   370	 0.108	 0.015	99.892
  41	169A	   560	 0.123	 0.023	99.877
  42	347C	   560	 0.145	 0.023	99.855
  43	446C	   679	 0.168	 0.027	99.832
  44	1799	   679	 0.196	 0.027	99.804
  45	1889	   931	 0.223	 0.038	99.777
  46	455C	   931	 0.261	 0.038	99.739
  47	356C	   992	 0.298	 0.040	99.702
  48	178A	   992	 0.339	 0.040	99.661
  49	258B	  1214	 0.379	 0.049	99.621
  50	267B	  2060	 0.428	 0.083	99.572
  51	259A	  2506	 0.511	 0.101	99.489
  52	348B	  2506	 0.613	 0.101	99.387
  53	2888	  3384	 0.714	 0.137	99.286
  54	555B	  3384	 0.851	 0.137	99.149
  55	277A	  3986	 0.989	 0.161	99.011
  56	366B	  3986	 1.150	 0.161	98.850
  57	447B	  4129	 1.311	 0.167	98.689
  58	2699	  4129	 1.479	 0.167	98.521
  59	349A	  5034	 1.646	 0.204	98.354
  60	268A	  5905	 1.850	 0.239	98.150
  61	357B	  5905	 2.089	 0.239	97.911
  62	4499	  7794	 2.328	 0.316	97.672
  63	3599	 11388	 2.644	 0.461	97.356
  64	448A	 11388	 3.105	 0.461	96.895
  65	456B	 14603	 3.566	 0.591	96.434
  66	2789	 14603	 4.158	 0.591	95.842
  67	358A	 16036	 4.749	 0.649	95.251
  68	367A	 28940	 5.398	 1.172	94.602
  69	466A	 36323	 6.570	 1.471	93.430
  70	3779	 36323	 8.042	 1.471	91.958
  71	3788	 48437	 9.513	 1.962	90.487
  72	556A	 48437	11.474	 1.962	88.526
  73	457A	 53787	13.436	 2.178	86.564
  74	3689	 53787	15.614	 2.178	84.386
  75	5588	 81730	17.793	 3.310	82.207
  76	4589	101356	21.103	 4.105	78.897
  77	5579	120976	25.208	 4.900	74.792
  78	4688	120976	30.107	 4.900	69.893
  79	5777	129732	35.007	 5.254	64.993
  80	6668	129732	40.261	 5.254	59.739
  81	4778	161984	45.515	 6.560	54.485
  82	5669	161984	52.076	 6.560	47.924
  83	4679	180382	58.636	 7.305	41.364
  84	6677	258670	65.941	10.476	34.059
  85	5678	582284	76.417	23.583	23.583
