args: ['./fits', '1234567', '1', '1'], Deals: 1234567, Field: Count, Sort: Down
Rank	Dist	 Count	Subtot	Percent	Reverse
   1	8765	583670	 0.000	23.639	100.000
   2	7766	259848	23.639	10.524	76.361
   3	9764	180258	34.163	 7.300	65.837
   4	9665	161850	41.463	 6.555	58.537
   5	8774	161850	48.018	 6.555	51.982
   6	8666	129125	54.573	 5.230	45.427
   7	7775	129125	59.802	 5.230	40.198
   8	8864	121353	65.032	 4.915	34.968
   9	9755	121353	69.947	 4.915	30.053
  10	9854	101200	74.862	 4.099	25.138
  11	8855	 82412	78.960	 3.338	21.040
  12	9863	 53732	82.298	 2.176	17.702
  13	A754	 53732	84.474	 2.176	15.526
  14	8873	 48589	86.650	 1.968	13.350
  15	A655	 48589	88.618	 1.968	11.382
  16	9773	 36064	90.586	 1.461	 9.414
  17	A664	 36064	92.046	 1.461	 7.954
  18	A763	 28370	93.507	 1.149	 6.493
  19	A853	 16054	94.656	 0.650	 5.344
  20	9872	 14559	95.306	 0.590	 4.694
  21	B654	 14559	95.896	 0.590	 4.104
  22	9953	 11267	96.485	 0.456	 3.515
  23	A844	 11267	96.942	 0.456	 3.058
  24	9944	  7658	97.398	 0.310	 2.602
  25	A862	  5759	97.708	 0.233	 2.292
  26	B753	  5759	97.942	 0.233	 2.058
  27	A943	  4940	98.175	 0.200	 1.825
  28	9962	  4111	98.375	 0.166	 1.625
  29	B744	  4111	98.541	 0.166	 1.459
  30	A772	  4017	98.708	 0.163	 1.292
  31	B663	  4017	98.870	 0.163	 1.130
  32	B555	  3248	99.033	 0.132	 0.967
  33	8882	  3248	99.165	 0.132	 0.835
  34	B843	  2373	99.296	 0.096	 0.704
  35	A952	  2373	99.392	 0.096	 0.608
  36	B762	  2104	99.488	 0.085	 0.512
  37	B852	  1222	99.574	 0.049	 0.426
  38	C653	   976	99.623	 0.040	 0.377
  39	A871	   976	99.663	 0.040	 0.337
  40	9881	   899	99.702	 0.036	 0.298
  41	C554	   899	99.739	 0.036	 0.261
  42	9971	   690	99.775	 0.028	 0.225
  43	C644	   690	99.803	 0.028	 0.197
  44	A961	   561	99.831	 0.023	 0.169
  45	C743	   561	99.854	 0.023	 0.146
  46	B942	   378	99.876	 0.015	 0.124
  47	AA42	   329	99.892	 0.013	 0.108
  48	B933	   329	99.905	 0.013	 0.095
  49	C752	   286	99.918	 0.012	 0.082
  50	B861	   286	99.930	 0.012	 0.070
  51	AA33	   216	99.942	 0.009	 0.058
  52	B771	   180	99.950	 0.007	 0.050
  53	C662	   180	99.958	 0.007	 0.042
  54	B951	   122	99.965	 0.005	 0.035
  55	C842	   122	99.970	 0.005	 0.030
  56	AA51	    75	99.975	 0.003	 0.025
  57	C833	    75	99.978	 0.003	 0.022
  58	C761	    66	99.981	 0.003	 0.019
  59	BA32	    46	99.983	 0.002	 0.017
  60	A970	    36	99.985	 0.001	 0.015
  61	D643	    36	99.987	 0.001	 0.013
  62	D544	    33	99.988	 0.001	 0.012
  63	9980	    33	99.990	 0.001	 0.010
  64	C851	    32	99.991	 0.001	 0.009
  65	D553	    24	99.992	 0.001	 0.008
  66	A880	    24	99.993	 0.001	 0.007
  67	BA41	    20	99.994	 0.001	 0.006
  68	C932	    20	99.995	 0.001	 0.005
  69	D652	    15	99.996	 0.001	 0.004
  70	B870	    15	99.996	 0.001	 0.004
  71	C941	    14	99.997	 0.001	 0.003
  72	D742	    12	99.998	 0.000	 0.002
  73	B960	    12	99.998	 0.000	 0.002
  74	AA60	     9	99.999	 0.000	 0.001
  75	D733	     9	99.999	 0.000	 0.001
  76	C860	     3	99.999	 0.000	 0.001
  77	D751	     3	99.999	 0.000	 0.001
  78	BA50	     2	100.000	 0.000	 0.000
  79	D832	     2	100.000	 0.000	 0.000
  80	CB21	     2	100.000	 0.000	 0.000
  81	C770	     2	100.000	 0.000	 0.000
  82	D661	     2	100.000	 0.000	 0.000
  83	CA22	     1	100.000	 0.000	 0.000
  84	BB31	     1	100.000	 0.000	 0.000
