Deals: 1234567, Field: Dist, Sort: Down, Pair: 0
Rank	Dist	 Count	Subtot	Percent	Reverse
   1	B200	     2	 0.000	 0.000	100.000
   2	A300	    12	 0.000	 0.000	100.000
   3	A210	    59	 0.000	 0.001	100.000
   4	A111	    16	 0.001	 0.000	99.999
   5	9400	    47	 0.002	 0.001	99.998
   6	9310	   465	 0.003	 0.009	99.997
   7	9220	   418	 0.012	 0.008	99.988
   8	9211	   848	 0.021	 0.017	99.979
   9	8500	   152	 0.038	 0.003	99.962
  10	8410	  2173	 0.041	 0.044	99.959
  11	8320	  5410	 0.085	 0.110	99.915
  12	8311	  5928	 0.194	 0.120	99.806
  13	8221	  9564	 0.314	 0.194	99.686
  14	7600	   287	 0.508	 0.006	99.492
  15	7510	  5319	 0.514	 0.108	99.486
  16	7420	 17922	 0.622	 0.363	99.378
  17	7411	 19468	 0.985	 0.394	99.015
  18	7330	 13159	 1.379	 0.266	98.621
  19	7321	 92795	 1.645	 1.879	98.355
  20	7222	 25494	 3.524	 0.516	96.476
  21	6610	  3554	 4.041	 0.072	95.959
  22	6520	 31963	 4.113	 0.647	95.887
  23	6511	 35087	 4.760	 0.711	95.240
  24	6430	 65763	 5.470	 1.332	94.530
  25	6421	231671	 6.802	 4.691	93.198
  26	6331	170611	11.493	 3.455	88.507
  27	6322	279263	14.948	 5.655	85.052
  28	5530	 44510	20.603	 0.901	79.397
  29	5521	156355	21.505	 3.166	78.495
  30	5440	 60882	24.671	 1.233	75.329
  31	5431	637029	25.904	12.900	74.096
  32	5422	521838	38.804	10.567	61.196
  33	5332	765987	49.371	15.511	50.629
  34	4441	148176	64.882	 3.001	35.118
  35	4432	1066230	67.883	21.591	32.117
  36	4333	519811	89.474	10.526	10.526
