Deals: 123456, Field: Dist, Sort: Up, Pair: 0
Rank	Dist	 Count	Subtot	Percent	Reverse
   1	003A	     1	 0.000	 0.000	100.000
   2	0049	     6	 0.000	 0.001	100.000
   3	0058	    13	 0.001	 0.003	99.999
   4	0067	    32	 0.004	 0.006	99.996
   5	012A	     2	 0.011	 0.000	99.989
   6	0139	    50	 0.011	 0.010	99.989
   7	0148	   225	 0.021	 0.046	99.979
   8	0157	   537	 0.067	 0.109	99.933
   9	0166	   374	 0.175	 0.076	99.825
  10	0229	    24	 0.251	 0.005	99.749
  11	0238	   474	 0.256	 0.096	99.744
  12	0247	  1769	 0.352	 0.358	99.648
  13	0256	  3164	 0.710	 0.641	99.290
  14	0337	  1287	 1.351	 0.261	98.649
  15	0346	  6514	 1.612	 1.319	98.388
  16	0355	  4344	 2.931	 0.880	97.069
  17	0445	  6198	 3.810	 1.255	96.190
  18	1129	    72	 5.065	 0.015	94.935
  19	1138	   611	 5.080	 0.124	94.920
  20	1147	  1981	 5.204	 0.401	94.796
  21	1156	  3487	 5.605	 0.706	94.395
  22	1228	   934	 6.311	 0.189	93.689
  23	1237	  9327	 6.500	 1.889	93.500
  24	1246	 23328	 8.389	 4.724	91.611
  25	1255	 15722	13.113	 3.184	86.887
  26	1336	 16951	16.296	 3.433	83.704
  27	1345	 63916	19.729	12.943	80.271
  28	1444	 14758	32.672	 2.989	67.328
  29	2227	  2563	35.661	 0.519	64.339
  30	2236	 27756	36.180	 5.621	63.820
  31	2245	 51982	41.800	10.526	58.200
  32	2335	 76585	52.327	15.509	47.673
  33	2344	106753	67.835	21.618	32.165
  34	3334	 52084	89.453	10.547	10.547
