Deals: 1234567, Field: Count, Sort: Up, Pair: 0
Rank	Dist	 Count	Subtot	Percent	Reverse
   1	003A	     2	 0.000	 0.000	100.000
   2	111A	    23	 0.000	 0.000	100.000
   3	0049	    43	 0.001	 0.001	99.999
   4	012A	    64	 0.001	 0.001	99.999
   5	0058	   164	 0.003	 0.003	99.997
   6	0067	   281	 0.006	 0.006	99.994
   7	0229	   397	 0.012	 0.008	99.988
   8	0139	   486	 0.020	 0.010	99.980
   9	1129	   827	 0.030	 0.017	99.970
  10	0148	  2311	 0.046	 0.047	99.954
  11	0166	  3449	 0.093	 0.070	99.907
  12	0157	  5363	 0.163	 0.109	99.837
  13	0238	  5381	 0.272	 0.109	99.728
  14	1138	  5674	 0.381	 0.115	99.619
  15	1228	  9471	 0.495	 0.192	99.505
  16	0337	 13249	 0.687	 0.268	99.313
  17	0247	 18036	 0.955	 0.365	99.045
  18	1147	 19414	 1.321	 0.393	98.679
  19	2227	 25148	 1.714	 0.509	98.286
  20	0256	 31862	 2.223	 0.645	97.777
  21	1156	 34713	 2.868	 0.703	97.132
  22	0355	 44264	 3.571	 0.896	96.429
  23	0445	 61288	 4.468	 1.241	95.532
  24	0346	 65584	 5.709	 1.328	94.291
  25	1237	 92763	 7.037	 1.878	92.963
  26	1444	147699	 8.915	 2.991	91.085
  27	1255	157213	11.906	 3.184	88.094
  28	1336	169799	15.090	 3.438	84.910
  29	1246	231361	18.528	 4.685	81.472
  30	2236	278700	23.213	 5.644	76.787
  31	3334	521015	28.857	10.551	71.143
  32	2245	522752	39.407	10.586	60.593
  33	1345	638860	49.993	12.937	50.007
  34	2335	765715	62.930	15.506	37.070
  35	2344	1064897	78.436	21.564	21.564
