Deals: 1234567, Field: Count, Sort: Down, Pair: 0
Rank	Dist	 Count	Subtot	Percent	Reverse
   1	4432	1062829	 0.000	21.522	100.000
   2	5332	766742	21.522	15.527	78.478
   3	5431	638435	37.049	12.928	62.951
   4	5422	522845	49.977	10.588	50.023
   5	4333	519155	60.565	10.513	39.435
   6	6322	279089	71.078	 5.652	28.922
   7	6421	232134	76.729	 4.701	23.271
   8	6331	171032	81.430	 3.463	18.570
   9	5521	157170	84.893	 3.183	15.107
  10	4441	147835	88.076	 2.994	11.924
  11	7321	 93428	91.070	 1.892	 8.930
  12	6430	 64982	92.962	 1.316	 7.038
  13	5440	 61358	94.278	 1.243	 5.722
  14	5530	 44388	95.520	 0.899	 4.480
  15	6511	 34647	96.419	 0.702	 3.581
  16	6520	 32507	97.120	 0.658	 2.880
  17	7222	 25385	97.779	 0.514	 2.221
  18	7411	 19091	98.293	 0.387	 1.707
  19	7420	 17965	98.679	 0.364	 1.321
  20	7330	 13114	99.043	 0.266	 0.957
  21	8221	  9532	99.309	 0.193	 0.691
  22	8311	  5812	99.502	 0.118	 0.498
  23	7510	  5385	99.619	 0.109	 0.381
  24	8320	  5339	99.728	 0.108	 0.272
  25	6610	  3532	99.837	 0.072	 0.163
  26	8410	  2221	99.908	 0.045	 0.092
  27	9211	   887	99.953	 0.018	 0.047
  28	9310	   476	99.971	 0.010	 0.029
  29	9220	   400	99.981	 0.008	 0.019
  30	7600	   295	99.989	 0.006	 0.011
  31	8500	   146	99.995	 0.003	 0.005
  32	A210	    46	99.998	 0.001	 0.002
  33	9400	    41	99.999	 0.001	 0.001
  34	A111	    18	99.999	 0.000	 0.001
  35	A300	     5	100.000	 0.000	 0.000
  36	B200	     2	100.000	 0.000	 0.000
