Deals: 123456, Field: Dist, Sort: Down, Pair: 1
Rank	Dist	 Count	Subtot	Percent	Reverse
   1	D832	     1	 0.000	 0.000	100.000
   2	D733	     1	 0.000	 0.000	100.000
   3	D652	     5	 0.001	 0.002	99.999
   4	D643	     2	 0.003	 0.001	99.997
   5	D553	     3	 0.004	 0.001	99.996
   6	D544	     7	 0.005	 0.003	99.995
   7	CA22	     1	 0.008	 0.000	99.992
   8	C941	     2	 0.008	 0.001	99.992
   9	C932	     3	 0.009	 0.001	99.991
  10	C842	    11	 0.010	 0.004	99.990
  11	C833	     4	 0.015	 0.002	99.985
  12	C761	     2	 0.016	 0.001	99.984
  13	C752	    32	 0.017	 0.013	99.983
  14	C743	    49	 0.030	 0.020	99.970
  15	C662	    18	 0.050	 0.007	99.950
  16	C653	    98	 0.057	 0.040	99.943
  17	C644	    74	 0.097	 0.030	99.903
  18	C554	   112	 0.127	 0.045	99.873
  19	BB31	     1	 0.172	 0.000	99.828
  20	BA50	     1	 0.173	 0.000	99.827
  21	BA41	     3	 0.173	 0.001	99.827
  22	BA32	     8	 0.174	 0.003	99.826
  23	B951	    11	 0.177	 0.004	99.823
  24	B942	    44	 0.182	 0.018	99.818
  25	B933	    26	 0.200	 0.011	99.800
  26	B870	     5	 0.210	 0.002	99.790
  27	B861	    32	 0.212	 0.013	99.788
  28	B852	   140	 0.225	 0.057	99.775
  29	B843	   239	 0.282	 0.097	99.718
  30	B771	    18	 0.379	 0.007	99.621
  31	B762	   212	 0.386	 0.086	99.614
  32	B753	   581	 0.472	 0.235	99.528
  33	B744	   371	 0.707	 0.150	99.293
  34	B663	   356	 0.857	 0.144	99.143
  35	B654	  1533	 1.002	 0.621	98.998
  36	B555	   338	 1.622	 0.137	98.378
  37	AA60	     1	 1.759	 0.000	98.241
  38	AA51	     4	 1.760	 0.002	98.240
  39	AA42	    26	 1.761	 0.011	98.239
  40	AA33	    18	 1.772	 0.007	98.228
  41	A970	     2	 1.779	 0.001	98.221
  42	A961	    49	 1.780	 0.020	98.220
  43	A952	   239	 1.800	 0.097	98.200
  44	A943	   462	 1.897	 0.187	98.103
  45	A880	     3	 2.084	 0.001	97.916
  46	A871	    98	 2.085	 0.040	97.915
  47	A862	   581	 2.125	 0.235	97.875
  48	A853	  1576	 2.360	 0.638	97.640
  49	A844	  1136	 2.998	 0.460	97.002
  50	A772	   356	 3.458	 0.144	96.542
  51	A763	  3006	 3.602	 1.217	96.398
  52	A754	  5365	 4.820	 2.173	95.180
  53	A664	  3625	 6.993	 1.468	93.007
  54	A655	  4862	 8.461	 1.969	91.539
  55	9980	     7	10.430	 0.003	89.570
  56	9971	    74	10.433	 0.030	89.567
  57	9962	   371	10.463	 0.150	89.537
  58	9953	  1136	10.613	 0.460	89.387
  59	9944	   792	11.073	 0.321	88.927
  60	9881	   112	11.394	 0.045	88.606
  61	9872	  1533	11.439	 0.621	88.561
  62	9863	  5365	12.060	 2.173	87.940
  63	9854	 10130	14.233	 4.103	85.767
  64	9773	  3625	18.336	 1.468	81.664
  65	9764	 18108	19.804	 7.334	80.196
  66	9755	 12106	27.138	 4.903	72.862
  67	9665	 16188	32.041	 6.556	67.959
  68	8882	   338	38.597	 0.137	61.403
  69	8873	  4862	38.734	 1.969	61.266
  70	8864	 12106	40.703	 4.903	59.297
  71	8855	  8234	45.606	 3.335	54.394
  72	8774	 16188	48.941	 6.556	51.059
  73	8765	 58534	55.497	23.706	44.503
  74	8666	 12911	79.203	 5.229	20.797
  75	7775	 12911	84.432	 5.229	15.568
  76	7766	 25528	89.661	10.339	10.339
