Deals: 123456, Field: Dist, Sort: Up, Pair: 1
Rank	Dist	 Count	Subtot	Percent	Reverse
   1	078B	     1	 0.000	 0.000	100.000
   2	079A	     6	 0.000	 0.002	100.000
   3	088A	     3	 0.003	 0.001	99.997
   4	0899	     3	 0.004	 0.001	99.996
   5	12BC	     2	 0.005	 0.001	99.995
   6	13BB	     1	 0.006	 0.000	99.994
   7	14AB	     3	 0.006	 0.001	99.994
   8	158C	     4	 0.008	 0.002	99.992
   9	159B	     8	 0.009	 0.003	99.991
  10	15AA	     4	 0.013	 0.002	99.987
  11	167C	     4	 0.014	 0.002	99.986
  12	168B	    25	 0.016	 0.010	99.984
  13	169A	    59	 0.026	 0.024	99.974
  14	177B	    14	 0.050	 0.006	99.950
  15	178A	    96	 0.055	 0.039	99.945
  16	1799	    59	 0.094	 0.024	99.906
  17	1889	    97	 0.118	 0.039	99.882
  18	22AC	     1	 0.158	 0.000	99.842
  19	239C	     3	 0.158	 0.001	99.842
  20	23AB	     6	 0.159	 0.002	99.841
  21	248C	     8	 0.162	 0.003	99.838
  22	249B	    24	 0.165	 0.010	99.835
  23	24AA	    24	 0.175	 0.010	99.825
  24	256D	     1	 0.184	 0.000	99.816
  25	257C	    25	 0.185	 0.010	99.815
  26	258B	   130	 0.195	 0.053	99.805
  27	259A	   218	 0.247	 0.088	99.753
  28	266C	    14	 0.336	 0.006	99.664
  29	267B	   196	 0.341	 0.079	99.659
  30	268A	   588	 0.421	 0.238	99.579
  31	2699	   416	 0.659	 0.168	99.341
  32	277A	   405	 0.827	 0.164	99.173
  33	2789	  1393	 0.991	 0.564	99.009
  34	2888	   322	 1.556	 0.130	98.444
  35	338C	     4	 1.686	 0.002	98.314
  36	339B	    24	 1.688	 0.010	98.312
  37	33AA	    20	 1.697	 0.008	98.303
  38	346D	     6	 1.705	 0.002	98.295
  39	347C	    59	 1.708	 0.024	98.292
  40	348B	   218	 1.732	 0.088	98.268
  41	349A	   466	 1.820	 0.189	98.180
  42	355D	     3	 2.009	 0.001	97.991
  43	356C	    96	 2.010	 0.039	97.990
  44	357B	   588	 2.049	 0.238	97.951
  45	358A	  1656	 2.287	 0.671	97.713
  46	3599	  1126	 2.958	 0.456	97.042
  47	366B	   405	 3.414	 0.164	96.586
  48	367A	  2918	 3.578	 1.182	96.422
  49	3689	  5386	 4.760	 2.181	95.240
  50	3779	  3667	 6.941	 1.485	93.059
  51	3788	  4947	 8.426	 2.004	91.574
  52	445D	     3	10.430	 0.001	89.570
  53	446C	    59	10.431	 0.024	89.569
  54	447B	   416	10.455	 0.168	89.545
  55	448A	  1126	10.623	 0.456	89.377
  56	4499	   796	11.079	 0.322	88.921
  57	455C	    97	11.402	 0.039	88.598
  58	456B	  1393	11.441	 0.564	88.559
  59	457A	  5386	12.005	 2.181	87.995
  60	4589	 10060	14.186	 4.074	85.814
  61	466A	  3667	18.261	 1.485	81.739
  62	4679	 18084	19.746	 7.324	80.254
  63	4688	 12277	27.070	 4.972	72.930
  64	4778	 16017	32.042	 6.487	67.958
  65	555B	   322	38.529	 0.130	61.471
  66	556A	  4947	38.660	 2.004	61.340
  67	5579	 12277	40.663	 4.972	59.337
  68	5588	  8102	45.635	 3.281	54.365
  69	5669	 16017	48.917	 6.487	51.083
  70	5678	 58318	55.404	23.619	44.596
  71	5777	 13013	79.022	 5.270	20.978
  72	6668	 13013	84.293	 5.270	15.707
  73	6677	 25770	89.563	10.437	10.437
