Deals: 1234567, Field: Count, Sort: Up, Pair: 1
Rank	Dist	 Count	Subtot	Percent	Reverse
   1	077C	     2	 0.000	 0.000	100.000
   2	166D	     2	 0.000	 0.000	100.000
   3	148D	     2	 0.000	 0.000	100.000
   4	059C	     2	 0.000	 0.000	100.000
   5	13AC	     2	 0.000	 0.000	100.000
   6	22BB	     2	 0.000	 0.000	100.000
   7	068C	     3	 0.000	 0.000	100.000
   8	157D	     3	 0.001	 0.000	99.999
   9	238D	     5	 0.001	 0.000	99.999
  10	05AB	     5	 0.001	 0.000	99.999
  11	337D	     8	 0.001	 0.000	99.999
  12	06AA	     8	 0.001	 0.000	99.999
  13	247D	    10	 0.002	 0.000	99.998
  14	069B	    10	 0.002	 0.000	99.998
  15	256D	    12	 0.003	 0.000	99.997
  16	078B	    12	 0.003	 0.000	99.997
  17	149C	    14	 0.004	 0.001	99.996
  18	14AB	    17	 0.004	 0.001	99.996
  19	239C	    17	 0.005	 0.001	99.995
  20	158C	    18	 0.006	 0.001	99.994
  21	355D	    22	 0.006	 0.001	99.994
  22	088A	    22	 0.007	 0.001	99.993
  23	346D	    35	 0.008	 0.001	99.992
  24	079A	    35	 0.009	 0.001	99.991
  25	445D	    39	 0.011	 0.002	99.989
  26	0899	    39	 0.012	 0.002	99.988
  27	23AB	    42	 0.014	 0.002	99.986
  28	167C	    62	 0.016	 0.003	99.984
  29	15AA	    81	 0.018	 0.003	99.982
  30	338C	    81	 0.022	 0.003	99.978
  31	159B	    99	 0.025	 0.004	99.975
  32	248C	    99	 0.029	 0.004	99.971
  33	266C	   166	 0.033	 0.007	99.967
  34	177B	   166	 0.040	 0.007	99.960
  35	33AA	   196	 0.046	 0.008	99.954
  36	339B	   254	 0.054	 0.010	99.946
  37	24AA	   254	 0.064	 0.010	99.936
  38	257C	   258	 0.075	 0.010	99.925
  39	168B	   258	 0.085	 0.010	99.915
  40	249B	   384	 0.096	 0.016	99.904
  41	169A	   545	 0.111	 0.022	99.889
  42	347C	   545	 0.133	 0.022	99.867
  43	1799	   711	 0.155	 0.029	99.845
  44	446C	   711	 0.184	 0.029	99.816
  45	1889	   946	 0.213	 0.038	99.787
  46	455C	   946	 0.251	 0.038	99.749
  47	178A	   997	 0.290	 0.040	99.710
  48	356C	   997	 0.330	 0.040	99.670
  49	258B	  1200	 0.370	 0.049	99.630
  50	267B	  2194	 0.419	 0.089	99.581
  51	348B	  2421	 0.508	 0.098	99.492
  52	259A	  2421	 0.606	 0.098	99.394
  53	2888	  3348	 0.704	 0.136	99.296
  54	555B	  3348	 0.839	 0.136	99.161
  55	366B	  3846	 0.975	 0.156	99.025
  56	277A	  3846	 1.131	 0.156	98.869
  57	447B	  4151	 1.287	 0.168	98.713
  58	2699	  4151	 1.455	 0.168	98.545
  59	349A	  4876	 1.623	 0.197	98.377
  60	268A	  5927	 1.820	 0.240	98.180
  61	357B	  5927	 2.060	 0.240	97.940
  62	4499	  7826	 2.300	 0.317	97.700
  63	448A	 11194	 2.617	 0.453	97.383
  64	3599	 11194	 3.071	 0.453	96.929
  65	2789	 14814	 3.524	 0.600	96.476
  66	456B	 14814	 4.124	 0.600	95.876
  67	358A	 16114	 4.724	 0.653	95.276
  68	367A	 28218	 5.377	 1.143	94.623
  69	3779	 35883	 6.519	 1.453	93.481
  70	466A	 35883	 7.973	 1.453	92.027
  71	556A	 48264	 9.426	 1.955	90.574
  72	3788	 48264	11.381	 1.955	88.619
  73	457A	 53832	13.335	 2.180	86.665
  74	3689	 53832	15.516	 2.180	84.484
  75	5588	 82052	17.696	 3.323	82.304
  76	4589	101396	21.019	 4.107	78.981
  77	5579	121542	25.125	 4.922	74.875
  78	4688	121542	30.048	 4.922	69.952
  79	6668	129486	34.970	 5.244	65.030
  80	5777	129486	40.215	 5.244	59.785
  81	4778	162992	45.459	 6.601	54.541
  82	5669	162992	52.060	 6.601	47.940
  83	4679	180146	58.661	 7.296	41.339
  84	6677	259398	65.957	10.506	34.043
  85	5678	581170	76.463	23.537	23.537
