Deals: 1234567, Field: Count, Sort: Down, Pair: 1
Rank	Dist	 Count	Subtot	Percent	Reverse
   1	8765	581372	 0.000	23.546	100.000
   2	7766	259730	23.546	10.519	76.454
   3	9764	179748	34.065	 7.280	65.935
   4	8774	162198	41.344	 6.569	58.656
   5	9665	162198	47.913	 6.569	52.087
   6	7775	129725	54.483	 5.254	45.517
   7	8666	129725	59.736	 5.254	40.264
   8	9755	121660	64.990	 4.927	35.010
   9	8864	121660	69.917	 4.927	30.083
  10	9854	100624	74.845	 4.075	25.155
  11	8855	 82572	78.920	 3.344	21.080
  12	9863	 54052	82.264	 2.189	17.736
  13	A754	 54052	84.453	 2.189	15.547
  14	A655	 48609	86.642	 1.969	13.358
  15	8873	 48609	88.611	 1.969	11.389
  16	A664	 36197	90.580	 1.466	 9.420
  17	9773	 36197	92.046	 1.466	 7.954
  18	A763	 28356	93.512	 1.148	 6.488
  19	A853	 15932	94.660	 0.645	 5.340
  20	B654	 14535	95.305	 0.589	 4.695
  21	9872	 14535	95.894	 0.589	 4.106
  22	A844	 11230	96.483	 0.455	 3.517
  23	9953	 11230	96.937	 0.455	 3.063
  24	9944	  7778	97.392	 0.315	 2.608
  25	A862	  5809	97.707	 0.235	 2.293
  26	B753	  5809	97.943	 0.235	 2.057
  27	A943	  4846	98.178	 0.196	 1.822
  28	B744	  4093	98.374	 0.166	 1.626
  29	9962	  4093	98.540	 0.166	 1.460
  30	B663	  3961	98.706	 0.160	 1.294
  31	A772	  3961	98.866	 0.160	 1.134
  32	B555	  3327	99.026	 0.135	 0.974
  33	8882	  3327	99.161	 0.135	 0.839
  34	B843	  2488	99.296	 0.101	 0.704
  35	A952	  2488	99.397	 0.101	 0.603
  36	B762	  2178	99.497	 0.088	 0.503
  37	B852	  1248	99.586	 0.051	 0.414
  38	C653	   933	99.636	 0.038	 0.364
  39	A871	   933	99.674	 0.038	 0.326
  40	9881	   878	99.712	 0.036	 0.288
  41	C554	   878	99.747	 0.036	 0.253
  42	C644	   688	99.783	 0.028	 0.217
  43	9971	   688	99.811	 0.028	 0.189
  44	A961	   571	99.839	 0.023	 0.161
  45	C743	   571	99.862	 0.023	 0.138
  46	B942	   382	99.885	 0.015	 0.115
  47	B861	   251	99.900	 0.010	 0.100
  48	C752	   251	99.911	 0.010	 0.089
  49	AA42	   249	99.921	 0.010	 0.079
  50	B933	   249	99.931	 0.010	 0.069
  51	C662	   192	99.941	 0.008	 0.059
  52	B771	   192	99.949	 0.008	 0.051
  53	AA33	   158	99.956	 0.006	 0.044
  54	B951	   100	99.963	 0.004	 0.037
  55	C842	   100	99.967	 0.004	 0.033
  56	C833	    76	99.971	 0.003	 0.029
  57	AA51	    76	99.974	 0.003	 0.026
  58	C761	    72	99.977	 0.003	 0.023
  59	BA32	    70	99.980	 0.003	 0.020
  60	D643	    43	99.983	 0.002	 0.017
  61	A970	    43	99.985	 0.002	 0.015
  62	9980	    39	99.986	 0.002	 0.014
  63	D544	    39	99.988	 0.002	 0.012
  64	A880	    33	99.989	 0.001	 0.011
  65	D553	    33	99.991	 0.001	 0.009
  66	D652	    24	99.992	 0.001	 0.008
  67	B870	    24	99.993	 0.001	 0.007
  68	C851	    22	99.994	 0.001	 0.006
  69	C932	    20	99.995	 0.001	 0.005
  70	BA41	    20	99.996	 0.001	 0.004
  71	B960	    12	99.997	 0.000	 0.003
  72	D742	    12	99.997	 0.000	 0.003
  73	C941	    10	99.998	 0.000	 0.002
  74	D733	     7	99.998	 0.000	 0.002
  75	AA60	     7	99.998	 0.000	 0.002
  76	CA31	     6	99.999	 0.000	 0.001
  77	D832	     4	99.999	 0.000	 0.001
  78	BA50	     4	99.999	 0.000	 0.001
  79	CA22	     3	99.999	 0.000	 0.001
  80	BB31	     3	99.999	 0.000	 0.001
  81	D751	     3	99.999	 0.000	 0.001
  82	C860	     3	99.999	 0.000	 0.001
  83	C770	     2	100.000	 0.000	 0.000
  84	D661	     2	100.000	 0.000	 0.000
  85	BB22	     2	100.000	 0.000	 0.000
  86	D841	     1	100.000	 0.000	 0.000
  87	C950	     1	100.000	 0.000	 0.000
  88	BB40	     1	100.000	 0.000	 0.000
  89	D922	     1	100.000	 0.000	 0.000
